techs,scenario,year,locs,unit,flow_in_25
electric_heater,climate_neutrality,2050,AUT,twh,0.0022887093582811056
electric_heater,climate_neutrality,2050,BEL,twh,0.0035573680438277253
electric_heater,climate_neutrality,2050,BGR,twh,0.0004606114062690487
electric_heater,climate_neutrality,2050,CYP,twh,0.0001631113616843125
electric_heater,climate_neutrality,2050,CZE,twh,0.002651438585518794
electric_heater,climate_neutrality,2050,DEU,twh,0.02873306124323871
electric_heater,climate_neutrality,2050,DNK,twh,0.0015425596965494323
electric_heater,climate_neutrality,2050,ESP,twh,0.008848234884250107
electric_heater,climate_neutrality,2050,EST,twh,0.00014034972079673386
electric_heater,climate_neutrality,2050,FIN,twh,0.0020096015984119014
electric_heater,climate_neutrality,2050,FRA,twh,0.019329766561288767
electric_heater,climate_neutrality,2050,GBR,twh,0.021840588697388884
electric_heater,climate_neutrality,2050,GRC,twh,0.0016334627471397472
electric_heater,climate_neutrality,2050,HRV,twh,0.0007820193568342736
electric_heater,climate_neutrality,2050,HUN,twh,0.0014954205949845607
electric_heater,climate_neutrality,2050,IRL,twh,0.0015458249206741583
electric_heater,climate_neutrality,2050,ITA,twh,0.013402332409494193
electric_heater,climate_neutrality,2050,LTU,twh,0.0004218493271273778
electric_heater,climate_neutrality,2050,LUX,twh,0.0002686523134938289
electric_heater,climate_neutrality,2050,LVA,twh,0.00011980211099645163
electric_heater,climate_neutrality,2050,NLD,twh,0.006121075031317053
electric_heater,climate_neutrality,2050,POL,twh,0.00718254034053692
electric_heater,climate_neutrality,2050,PRT,twh,0.0017627663269420405
electric_heater,climate_neutrality,2050,ROU,twh,0.0014300042626016107
electric_heater,climate_neutrality,2050,SVK,twh,0.0007149817069714887
electric_heater,climate_neutrality,2050,SVN,twh,0.00022106037959072222
electric_heater,climate_neutrality,2050,SWE,twh,0.002699735453208501
light_transport_ev,climate_neutrality,2050,AUT,twh,0.0004276900806790472
light_transport_ev,climate_neutrality,2050,BEL,twh,2.202892713041973e-06
light_transport_ev,climate_neutrality,2050,BGR,twh,1.0185638428232476e-06
light_transport_ev,climate_neutrality,2050,CYP,twh,6.411038849247025e-07
light_transport_ev,climate_neutrality,2050,CZE,twh,3.1992872475963773e-06
light_transport_ev,climate_neutrality,2050,DEU,twh,0.006178675890059975
light_transport_ev,climate_neutrality,2050,DNK,twh,2.4425481164431485e-06
light_transport_ev,climate_neutrality,2050,ESP,twh,0.0012554417847663699
light_transport_ev,climate_neutrality,2050,EST,twh,7.040154265843552e-07
light_transport_ev,climate_neutrality,2050,FIN,twh,2.6507412406712757e-06
light_transport_ev,climate_neutrality,2050,FRA,twh,0.0023255018712410405
light_transport_ev,climate_neutrality,2050,GBR,twh,0.0028773247467220055
light_transport_ev,climate_neutrality,2050,GRC,twh,2.246413748768543e-06
light_transport_ev,climate_neutrality,2050,HRV,twh,1.194565975110362e-06
light_transport_ev,climate_neutrality,2050,HUN,twh,1.2516338779252115e-06
light_transport_ev,climate_neutrality,2050,IRL,twh,1.0304555394688909e-06
light_transport_ev,climate_neutrality,2050,ITA,twh,9.601556339348844e-06
light_transport_ev,climate_neutrality,2050,LTU,twh,1.836899491557803e-06
light_transport_ev,climate_neutrality,2050,LUX,twh,1.153157842981095e-06
light_transport_ev,climate_neutrality,2050,LVA,twh,1.2344753966569159e-06
light_transport_ev,climate_neutrality,2050,NLD,twh,0.0012875102662573917
light_transport_ev,climate_neutrality,2050,POL,twh,0.003218219033104454
light_transport_ev,climate_neutrality,2050,PRT,twh,1.7155279540681693e-06
light_transport_ev,climate_neutrality,2050,ROU,twh,3.3629620796843196e-06
light_transport_ev,climate_neutrality,2050,SVK,twh,1.8410546423608522e-06
light_transport_ev,climate_neutrality,2050,SVN,twh,8.267736437403546e-06
light_transport_ev,climate_neutrality,2050,SWE,twh,0.00017218461690973372
