techs,scenario,year,locs,unit,flow_in_winter_peak
electric_heater,climate_neutrality,2050,AUT,twh,0.019348138343186567
electric_heater,climate_neutrality,2050,BEL,twh,0.031747956126894156
electric_heater,climate_neutrality,2050,BGR,twh,0.006104616870335802
electric_heater,climate_neutrality,2050,CYP,twh,0.001567217648649933
electric_heater,climate_neutrality,2050,CZE,twh,0.024721734321957654
electric_heater,climate_neutrality,2050,DEU,twh,0.24142948002382197
electric_heater,climate_neutrality,2050,DNK,twh,0.015078632268218838
electric_heater,climate_neutrality,2050,ESP,twh,0.057606809378516706
electric_heater,climate_neutrality,2050,EST,twh,0.0012538042758774089
electric_heater,climate_neutrality,2050,FIN,twh,0.01676899963771933
electric_heater,climate_neutrality,2050,FRA,twh,0.15944159420462403
electric_heater,climate_neutrality,2050,GBR,twh,0.12916190658303192
electric_heater,climate_neutrality,2050,GRC,twh,0.017384883017001182
electric_heater,climate_neutrality,2050,HRV,twh,0.00693432508397523
electric_heater,climate_neutrality,2050,HUN,twh,0.02059834233684916
electric_heater,climate_neutrality,2050,IRL,twh,0.00850928538805286
electric_heater,climate_neutrality,2050,ITA,twh,0.1233645518417567
electric_heater,climate_neutrality,2050,LTU,twh,0.003115970836663631
electric_heater,climate_neutrality,2050,LUX,twh,0.002408176241452743
electric_heater,climate_neutrality,2050,LVA,twh,0.0012527591275276189
electric_heater,climate_neutrality,2050,NLD,twh,0.05199892329994905
electric_heater,climate_neutrality,2050,POL,twh,0.069284572585541
electric_heater,climate_neutrality,2050,PRT,twh,0.01411361401751391
electric_heater,climate_neutrality,2050,ROU,twh,0.01705090134683033
electric_heater,climate_neutrality,2050,SVK,twh,0.006523281769740121
electric_heater,climate_neutrality,2050,SVN,twh,0.0017420636220272924
electric_heater,climate_neutrality,2050,SWE,twh,0.022643326801672237
light_transport_ev,climate_neutrality,2050,AUT,twh,0.08438813591401643
light_transport_ev,climate_neutrality,2050,BEL,twh,0.06712590216589007
light_transport_ev,climate_neutrality,2050,BGR,twh,0.08026039176788895
light_transport_ev,climate_neutrality,2050,CYP,twh,0.009738216459271653
light_transport_ev,climate_neutrality,2050,CZE,twh,0.033071789823353
light_transport_ev,climate_neutrality,2050,DEU,twh,0.374950154966232
light_transport_ev,climate_neutrality,2050,DNK,twh,0.023456067229408316
light_transport_ev,climate_neutrality,2050,ESP,twh,0.25849809290602754
light_transport_ev,climate_neutrality,2050,EST,twh,0.012373550485464131
light_transport_ev,climate_neutrality,2050,FIN,twh,0.063880968458899
light_transport_ev,climate_neutrality,2050,FRA,twh,0.3407856158087663
light_transport_ev,climate_neutrality,2050,GBR,twh,0.30681916420139316
light_transport_ev,climate_neutrality,2050,GRC,twh,0.0599257692389211
light_transport_ev,climate_neutrality,2050,HRV,twh,0.025335768298188406
light_transport_ev,climate_neutrality,2050,HUN,twh,0.0638316549208358
light_transport_ev,climate_neutrality,2050,IRL,twh,0.034746908950840205
light_transport_ev,climate_neutrality,2050,ITA,twh,0.4059851735956496
light_transport_ev,climate_neutrality,2050,LTU,twh,0.013478262537653123
light_transport_ev,climate_neutrality,2050,LUX,twh,0.00639083440219845
light_transport_ev,climate_neutrality,2050,LVA,twh,0.0066206847956043835
light_transport_ev,climate_neutrality,2050,NLD,twh,0.09609699771614771
light_transport_ev,climate_neutrality,2050,POL,twh,0.14949374954971698
light_transport_ev,climate_neutrality,2050,PRT,twh,0.08661689341147814
light_transport_ev,climate_neutrality,2050,ROU,twh,0.06877603817449618
light_transport_ev,climate_neutrality,2050,SVK,twh,0.030024638758306757
light_transport_ev,climate_neutrality,2050,SVN,twh,0.008019510696030957
light_transport_ev,climate_neutrality,2050,SWE,twh,0.038344458713201364
