carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,4.511946694494947e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,1.7040271970907795e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,9.929958384703273e-07
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,5.610678465497033e-07
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,2.352823042060353e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,1.2945685717758182e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,2.5448333590665316e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,1.2497612926747169e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,1.2622142196351677e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,4.752075132234809e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,2.3682596361395184e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,6.913333853256779e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,1.8475346246862618e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,1.0294200347920155e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,1.0129571100043355e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,1.1448550703221505e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,7.110575799659189e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,1.3862252498211425e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,9.05549542304642e-07
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,3.0702562979786206e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,1.6706363829353888e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,5.792607336944392e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,2.2063521923486646e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,3.1735719350740874e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,1.1001710497597864e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,1.0907688091209227e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,8.683791994476526e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,0.0021705106984443
heat,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,0.0010414936792604947
heat,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,0.0010509626723048853
heat,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,2.9234171031960133e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,0.001814060387388369
heat,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,0.00781269185244053
heat,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,3.0350637987757546e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,5.7782177857462594e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,0.0006862771879476195
heat,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,0.002911497724015952
heat,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,0.0037948101441260735
heat,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,2.747819821173574e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,0.00029943497278945723
heat,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,0.0004343382647186884
heat,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,0.0012608732873633085
heat,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,3.791861273031118e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,0.002839766903572159
heat,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,0.0007082310185999022
heat,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,6.422895406555483e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,0.0009364342097188726
heat,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,0.0002264926063693451
heat,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,0.004046128672439163
heat,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,6.71814540140183e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,0.0023904301675106887
heat,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,0.0008231315749091913
heat,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,0.000641544687697308
heat,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,0.0036968680166664498
electricity,chp_wte_back_pressure,climate_neutrality,2050,AUT,twh,0.0003484359899649565
electricity,chp_wte_back_pressure,climate_neutrality,2050,BEL,twh,0.0005108854122590657
electricity,chp_wte_back_pressure,climate_neutrality,2050,CZE,twh,7.125397541701007e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,DEU,twh,0.003559277341987294
electricity,chp_wte_back_pressure,climate_neutrality,2050,DNK,twh,0.0005202191431174836
electricity,chp_wte_back_pressure,climate_neutrality,2050,ESP,twh,0.00026872251459345703
electricity,chp_wte_back_pressure,climate_neutrality,2050,EST,twh,2.687426367655424e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,FIN,twh,0.0002715570702722724
electricity,chp_wte_back_pressure,climate_neutrality,2050,FRA,twh,0.0014281009921543657
electricity,chp_wte_back_pressure,climate_neutrality,2050,GBR,twh,0.0011659305991855006
electricity,chp_wte_back_pressure,climate_neutrality,2050,GRC,twh,1.9176422565679158e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,HUN,twh,0.00010226630930693026
electricity,chp_wte_back_pressure,climate_neutrality,2050,IRL,twh,3.0055470175349046e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,ITA,twh,0.0010375152543766948
electricity,chp_wte_back_pressure,climate_neutrality,2050,LTU,twh,4.105984648075822e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,LUX,twh,1.958069169325016e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,NLD,twh,0.0010471964540886424
electricity,chp_wte_back_pressure,climate_neutrality,2050,POL,twh,6.596199943690193e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,PRT,twh,0.0001288189173102997
electricity,chp_wte_back_pressure,climate_neutrality,2050,ROU,twh,5.90017639739844e-07
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVK,twh,2.1044292849824032e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVN,twh,4.975956771700613e-06
electricity,chp_wte_back_pressure,climate_neutrality,2050,SWE,twh,0.0009357735575911785
heat,chp_wte_back_pressure,climate_neutrality,2050,AUT,twh,6.377234648208789e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,BEL,twh,2.2664894272363696e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,CZE,twh,3.5945289874982515e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,DEU,twh,1.6085208876099552e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,DNK,twh,4.095253834899361e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,ESP,twh,1.5843001150095413e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,EST,twh,1.5230445338139454e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,FIN,twh,3.9921916390200907e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,FRA,twh,2.962808390813997e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,GBR,twh,1.2081131714185532e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,GRC,twh,2.5542096268406194e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,HUN,twh,2.116109737198564e-07
