technology,scenario,year,locs,unit,flow_out_50
ccgt,climate_neutrality,2050,AUT,twh,4.959772390127987e-07
ccgt,climate_neutrality,2050,BEL,twh,1.607895993657616e-07
ccgt,climate_neutrality,2050,BGR,twh,1.7146194063763399e-07
ccgt,climate_neutrality,2050,CYP,twh,1.6464838662492916e-07
ccgt,climate_neutrality,2050,CZE,twh,3.180162248672325e-07
ccgt,climate_neutrality,2050,DEU,twh,1.1101846770193367e-06
ccgt,climate_neutrality,2050,DNK,twh,3.393719818341252e-07
ccgt,climate_neutrality,2050,ESP,twh,1.892818567429657e-06
ccgt,climate_neutrality,2050,EST,twh,1.5887265183342108e-07
ccgt,climate_neutrality,2050,FIN,twh,3.186760994871865e-07
ccgt,climate_neutrality,2050,FRA,twh,2.5313651937748076e-06
ccgt,climate_neutrality,2050,GBR,twh,1.022906312713233e-06
ccgt,climate_neutrality,2050,GRC,twh,3.4709562838527775e-07
ccgt,climate_neutrality,2050,HRV,twh,1.705367054966086e-07
ccgt,climate_neutrality,2050,HUN,twh,1.7208620568181782e-07
ccgt,climate_neutrality,2050,IRL,twh,1.6397308763676145e-07
ccgt,climate_neutrality,2050,ITA,twh,1.0224067057324898e-06
ccgt,climate_neutrality,2050,LTU,twh,1.5615437166292632e-07
ccgt,climate_neutrality,2050,LUX,twh,1.574443285722111e-07
ccgt,climate_neutrality,2050,LVA,twh,1.705617882221979e-07
ccgt,climate_neutrality,2050,NLD,twh,1.6345628528470136e-07
ccgt,climate_neutrality,2050,POL,twh,8.312456997335302e-07
ccgt,climate_neutrality,2050,PRT,twh,3.406758607979802e-07
ccgt,climate_neutrality,2050,ROU,twh,5.13070207597272e-07
ccgt,climate_neutrality,2050,SVK,twh,1.6446122058353684e-07
ccgt,climate_neutrality,2050,SVN,twh,1.5997298063658839e-07
ccgt,climate_neutrality,2050,SWE,twh,6.634792272513085e-07
gas_hob,climate_neutrality,2050,AUT,twh,2.8611912789894494e-06
gas_hob,climate_neutrality,2050,BEL,twh,8.78379214910444e-07
gas_hob,climate_neutrality,2050,BGR,twh,1.4222875087528375e-06
gas_hob,climate_neutrality,2050,CYP,twh,9.042788242923299e-07
gas_hob,climate_neutrality,2050,CZE,twh,1.7635066677186273e-06
gas_hob,climate_neutrality,2050,DEU,twh,6.279848105174013e-06
gas_hob,climate_neutrality,2050,DNK,twh,1.6243054506743449e-06
gas_hob,climate_neutrality,2050,ESP,twh,8.988015971255593e-06
gas_hob,climate_neutrality,2050,EST,twh,9.824332762276008e-07
gas_hob,climate_neutrality,2050,FIN,twh,2.047618633297001e-06
gas_hob,climate_neutrality,2050,FRA,twh,1.2875848233870526e-05
gas_hob,climate_neutrality,2050,GBR,twh,5.342772402123829e-06
gas_hob,climate_neutrality,2050,GRC,twh,1.8168826199225943e-06
gas_hob,climate_neutrality,2050,HRV,twh,9.080587600311612e-07
gas_hob,climate_neutrality,2050,HUN,twh,1.1430298137812345e-06
gas_hob,climate_neutrality,2050,IRL,twh,8.675684736504909e-07
gas_hob,climate_neutrality,2050,ITA,twh,5.2119007194831855e-06
gas_hob,climate_neutrality,2050,LTU,twh,1.0591799771764086e-06
