scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,8.547799770493212e-06
climate_neutrality,2050,BEL,twh,2.0578124328281477e-06
climate_neutrality,2050,BGR,twh,6.360415911282228e-06
climate_neutrality,2050,CYP,twh,0.0010543331980293314
climate_neutrality,2050,CZE,twh,4.316150705909204e-06
climate_neutrality,2050,DEU,twh,1.6948667490845387e-05
climate_neutrality,2050,DNK,twh,0.016705390660399676
climate_neutrality,2050,ESP,twh,0.003784269758356323
climate_neutrality,2050,EST,twh,0.011049604813427961
climate_neutrality,2050,FIN,twh,8.986451375326752e-06
climate_neutrality,2050,FRA,twh,0.003984639762193438
climate_neutrality,2050,GBR,twh,0.1531754337469343
climate_neutrality,2050,GRC,twh,8.995129098013785e-06
climate_neutrality,2050,HRV,twh,3.344152525342375e-06
climate_neutrality,2050,HUN,twh,6.66777139292564e-06
climate_neutrality,2050,IRL,twh,0.04389091190989979
climate_neutrality,2050,ITA,twh,0.007894057123981186
climate_neutrality,2050,LTU,twh,3.1172758240485157e-06
climate_neutrality,2050,LUX,twh,1.542514464577546e-06
climate_neutrality,2050,LVA,twh,5.727568863242022e-06
climate_neutrality,2050,NLD,twh,2.546944390073034e-06
climate_neutrality,2050,POL,twh,2.9067693508501377e-05
climate_neutrality,2050,PRT,twh,0.07788964922149408
climate_neutrality,2050,ROU,twh,0.030193828564048886
climate_neutrality,2050,SVK,twh,2.7643484167724663e-06
climate_neutrality,2050,SVN,twh,3.55861845920482e-06
climate_neutrality,2050,SWE,twh,0.006792584279141789
