carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,0.028633997557095014
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,0.01213121754264854
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,0.02538164124801196
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,0.006346444886401974
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,0.04884246431913175
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,0.0792975835101078
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,0.015463385451924237
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,0.08832211556067163
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,0.007395953343212792
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,0.02278789853859995
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,0.15912153738260584
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,0.04298657120160788
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,0.0533452741511122
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,0.015898734449419534
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,0.013592355544527219
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,0.031133166897194073
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,0.06800188017535835
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,0.008033834736267998
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,0.014635075680572169
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,0.017808362304497873
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,0.01333917366741172
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,0.1691643251086935
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,0.013298818589518115
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,0.05772932959970038
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,0.009890273547207366
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,0.015229457624370678
electricity,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,0.0401770465498808
heat,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,24.831658934548855
heat,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,14.131793866362308
heat,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,15.890670033476844
heat,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,0.021704219976906157
heat,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,26.736701966688194
heat,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,104.36965093400234
heat,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,0.36080700458215986
heat,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,0.35821799383296815
heat,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,10.368997604532169
heat,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,32.81798514611568
heat,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,45.47855951882278
heat,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,0.1530858833911522
heat,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,3.865530983952083
heat,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,6.07462732673513
heat,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,22.24577189633569
heat,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,0.07187340755948533
heat,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,31.916243186240017
heat,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,9.923290725143975
heat,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,0.8605241148156406
heat,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,13.729986978533612
heat,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,2.992280457076332
heat,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,62.988429371387795
heat,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,0.03694410060351963
heat,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,39.74842410841698
heat,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,12.113602705827427
heat,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,8.627926617748297
heat,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,42.71403901607037
electricity,chp_wte_back_pressure,climate_neutrality,2050,AUT,twh,1.5170684988238041
electricity,chp_wte_back_pressure,climate_neutrality,2050,BEL,twh,2.219277094222873
electricity,chp_wte_back_pressure,climate_neutrality,2050,CZE,twh,0.308320062418301
