technology,scenario,year,locs,unit,flow_out_summer_peak
ccgt,climate_neutrality,2050,AUT,twh,5.720039543899006e-07
ccgt,climate_neutrality,2050,BEL,twh,1.8323262593451049e-07
ccgt,climate_neutrality,2050,BGR,twh,2.0099598943935347e-07
ccgt,climate_neutrality,2050,CYP,twh,1.9001375866297445e-07
ccgt,climate_neutrality,2050,CZE,twh,3.675421303081142e-07
ccgt,climate_neutrality,2050,DEU,twh,1.2728719771833725e-06
ccgt,climate_neutrality,2050,DNK,twh,4.1047870765093193e-07
ccgt,climate_neutrality,2050,ESP,twh,2.1833824219280582e-06
ccgt,climate_neutrality,2050,EST,twh,1.8008276731614752e-07
ccgt,climate_neutrality,2050,FIN,twh,3.688650770225757e-07
ccgt,climate_neutrality,2050,FRA,twh,2.9328283030815387e-06
ccgt,climate_neutrality,2050,GBR,twh,1.2119468553319277e-06
ccgt,climate_neutrality,2050,GRC,twh,4.111213326696697e-07
ccgt,climate_neutrality,2050,HRV,twh,1.990975970468241e-07
ccgt,climate_neutrality,2050,HUN,twh,2.030934287866958e-07
ccgt,climate_neutrality,2050,IRL,twh,1.8821308171945358e-07
ccgt,climate_neutrality,2050,ITA,twh,1.2080078100837577e-06
ccgt,climate_neutrality,2050,LTU,twh,1.7262864051140919e-07
ccgt,climate_neutrality,2050,LUX,twh,1.7421780565062857e-07
ccgt,climate_neutrality,2050,LVA,twh,2.0311370379801707e-07
ccgt,climate_neutrality,2050,NLD,twh,1.8625178156229707e-07
ccgt,climate_neutrality,2050,POL,twh,9.938659429191343e-07
ccgt,climate_neutrality,2050,PRT,twh,3.877054976050688e-07
ccgt,climate_neutrality,2050,ROU,twh,6.033939056437092e-07
ccgt,climate_neutrality,2050,SVK,twh,1.924082141408742e-07
ccgt,climate_neutrality,2050,SVN,twh,1.7920759732076994e-07
ccgt,climate_neutrality,2050,SWE,twh,7.942687922120606e-07
gas_hob,climate_neutrality,2050,AUT,twh,2.764374347608387e-06
gas_hob,climate_neutrality,2050,BEL,twh,9.843823468712377e-07
gas_hob,climate_neutrality,2050,BGR,twh,1.2046810818335069e-06
gas_hob,climate_neutrality,2050,CYP,twh,1.0629745085474294e-06
gas_hob,climate_neutrality,2050,CZE,twh,1.8500664295667895e-06
gas_hob,climate_neutrality,2050,DEU,twh,7.082811564029966e-06
gas_hob,climate_neutrality,2050,DNK,twh,1.9404772018119866e-06
gas_hob,climate_neutrality,2050,ESP,twh,1.005057260738055e-05
gas_hob,climate_neutrality,2050,EST,twh,9.404208510901612e-07
gas_hob,climate_neutrality,2050,FIN,twh,2.035450635869301e-06
gas_hob,climate_neutrality,2050,FRA,twh,1.3815494093073665e-05
gas_hob,climate_neutrality,2050,GBR,twh,6.587497643252359e-06
gas_hob,climate_neutrality,2050,GRC,twh,2.0869088496584297e-06
gas_hob,climate_neutrality,2050,HRV,twh,9.519014051459717e-07
gas_hob,climate_neutrality,2050,HUN,twh,1.0874767525999313e-06
gas_hob,climate_neutrality,2050,IRL,twh,1.0623188659100167e-06
gas_hob,climate_neutrality,2050,ITA,twh,6.071263034950048e-06
gas_hob,climate_neutrality,2050,LTU,twh,9.807453185664243e-07
gas_hob,climate_neutrality,2050,LUX,twh,8.287535066455216e-07
gas_hob,climate_neutrality,2050,LVA,twh,9.632561241756825e-07
gas_hob,climate_neutrality,2050,NLD,twh,1.056137819887693e-06
gas_hob,climate_neutrality,2050,POL,twh,5.218109247956011e-06
gas_hob,climate_neutrality,2050,PRT,twh,1.8283309914650503e-06
gas_hob,climate_neutrality,2050,ROU,twh,3.479067702354951e-06
gas_hob,climate_neutrality,2050,SVK,twh,9.216519889426851e-07
