scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,1.270826168115711e-05
climate_neutrality,2050,BEL,twh,3.8120022860024375e-06
climate_neutrality,2050,BGR,twh,6.8408315787995294e-06
climate_neutrality,2050,CYP,twh,6.786786825793088e-06
climate_neutrality,2050,CZE,twh,1.0767973735934112e-05
climate_neutrality,2050,DEU,twh,3.2002550242479906e-05
climate_neutrality,2050,DNK,twh,9.347054720411488e-06
climate_neutrality,2050,ESP,twh,4.90517549291009e-05
climate_neutrality,2050,EST,twh,1.0255232743097492e-05
climate_neutrality,2050,FIN,twh,1.6613619089713462e-05
climate_neutrality,2050,FRA,twh,6.26904673464799e-05
climate_neutrality,2050,GBR,twh,2.3689777077157687e-05
climate_neutrality,2050,GRC,twh,9.249129127490856e-06
climate_neutrality,2050,HRV,twh,3.8212231860890706e-06
climate_neutrality,2050,HUN,twh,5.506942234813054e-06
climate_neutrality,2050,IRL,twh,4.399825064332353e-06
climate_neutrality,2050,ITA,twh,2.0382649310369587e-05
climate_neutrality,2050,LTU,twh,7.217039259013814e-06
climate_neutrality,2050,LUX,twh,4.5089409016408916e-06
climate_neutrality,2050,LVA,twh,6.608944239129986e-06
climate_neutrality,2050,NLD,twh,3.6635617308457555e-06
climate_neutrality,2050,POL,twh,3.476199810700502e-05
climate_neutrality,2050,PRT,twh,9.071678238505748e-06
climate_neutrality,2050,ROU,twh,1.956244572233041e-05
climate_neutrality,2050,SVK,twh,5.4413171487400695e-06
climate_neutrality,2050,SVN,twh,3.994319694683403e-06
climate_neutrality,2050,SWE,twh,2.4719551009641257e-05
