carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,8.170272222673106e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,3.534773421068993e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,1.232610271048057e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,2.0737432280276716e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,1.960593789406235e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,2.3130509948447944e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,4.4146885329985135e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,2.5868558602941718e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,2.038886876574369e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,6.055463765684434e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,4.663533033027579e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,1.2283721509984548e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,1.917370878336007e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,5.772030794332905e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,4.7877923646392185e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,1.0411872668735667e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,2.149662447804164e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,2.2651339672491605e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,5.25338564776016e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,5.154320025051495e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,3.923412923239663e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,7.674924771492818e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,3.696758496014404e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,2.2201872575613127e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,3.123507851211791e-06
