technology,scenario,year,locs,unit,flow_out_winter_peak
ccgt,climate_neutrality,2050,AUT,twh,0.015749711397062792
ccgt,climate_neutrality,2050,BEL,twh,0.005263397775805556
ccgt,climate_neutrality,2050,BGR,twh,6.524773808245228e-06
ccgt,climate_neutrality,2050,CYP,twh,1.908315993399797e-06
ccgt,climate_neutrality,2050,CZE,twh,0.021678739634814446
ccgt,climate_neutrality,2050,DEU,twh,0.10852867407166071
ccgt,climate_neutrality,2050,DNK,twh,1.1404402192545925e-05
ccgt,climate_neutrality,2050,ESP,twh,4.135209650464857e-05
ccgt,climate_neutrality,2050,EST,twh,2.99105828283793e-07
ccgt,climate_neutrality,2050,FIN,twh,3.192620095004995e-06
ccgt,climate_neutrality,2050,FRA,twh,0.012823808586408145
ccgt,climate_neutrality,2050,GBR,twh,0.005035119567203535
ccgt,climate_neutrality,2050,GRC,twh,1.484004343859148e-05
ccgt,climate_neutrality,2050,HRV,twh,4.757834001081598e-05
ccgt,climate_neutrality,2050,HUN,twh,0.0005146690408781888
ccgt,climate_neutrality,2050,IRL,twh,2.0290458558350953e-06
ccgt,climate_neutrality,2050,ITA,twh,0.0420015917207342
ccgt,climate_neutrality,2050,LTU,twh,2.5812820596289154e-07
ccgt,climate_neutrality,2050,LUX,twh,3.418632867105155e-07
ccgt,climate_neutrality,2050,LVA,twh,4.970948431892236e-06
ccgt,climate_neutrality,2050,NLD,twh,0.04179642261183404
ccgt,climate_neutrality,2050,POL,twh,0.0003942827703421116
ccgt,climate_neutrality,2050,PRT,twh,5.381649190125911e-06
ccgt,climate_neutrality,2050,ROU,twh,1.8799992017452627e-05
ccgt,climate_neutrality,2050,SVK,twh,0.0006506996839271041
ccgt,climate_neutrality,2050,SVN,twh,2.6222465259328534e-07
ccgt,climate_neutrality,2050,SWE,twh,2.1308363734452456e-05
gas_hob,climate_neutrality,2050,AUT,twh,6.911121058995449e-05
gas_hob,climate_neutrality,2050,BEL,twh,0.0005207959232595229
gas_hob,climate_neutrality,2050,BGR,twh,3.0145442190135016e-05
gas_hob,climate_neutrality,2050,CYP,twh,1.2636023753936806e-05
gas_hob,climate_neutrality,2050,CZE,twh,0.0012103890277056482
gas_hob,climate_neutrality,2050,DEU,twh,0.002377156010330142
gas_hob,climate_neutrality,2050,DNK,twh,3.564852581582702e-05
gas_hob,climate_neutrality,2050,ESP,twh,0.0019984598967301213
gas_hob,climate_neutrality,2050,EST,twh,9.7472584365919e-06
gas_hob,climate_neutrality,2050,FIN,twh,1.8479540592680674e-05
gas_hob,climate_neutrality,2050,FRA,twh,0.0062874964880142905
gas_hob,climate_neutrality,2050,GBR,twh,0.00790634858445032
