scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,1.1303224445207174e-05
climate_neutrality,2050,BEL,twh,3.0652596627082387e-06
climate_neutrality,2050,BGR,twh,8.084717551568686e-06
climate_neutrality,2050,CYP,twh,0.0010547316495786076
climate_neutrality,2050,CZE,twh,6.226230556775626e-06
climate_neutrality,2050,DEU,twh,2.376388550785983e-05
climate_neutrality,2050,DNK,twh,0.016706034022507334
climate_neutrality,2050,ESP,twh,0.0038198275380702832
climate_neutrality,2050,EST,twh,0.01105145379652208
climate_neutrality,2050,FIN,twh,1.0153242861291342e-05
climate_neutrality,2050,FRA,twh,0.003997714751818831
climate_neutrality,2050,GBR,twh,0.1590751916986778
climate_neutrality,2050,GRC,twh,1.1144511438886162e-05
climate_neutrality,2050,HRV,twh,4.703056297026777e-06
climate_neutrality,2050,HUN,twh,8.48525137362166e-06
climate_neutrality,2050,IRL,twh,0.043891304405516494
climate_neutrality,2050,ITA,twh,0.00833933259885935
climate_neutrality,2050,LTU,twh,4.101728858282438e-06
climate_neutrality,2050,LUX,twh,1.8147875549494394e-06
climate_neutrality,2050,LVA,twh,7.156401442373762e-06
climate_neutrality,2050,NLD,twh,3.5620131756705566e-06
climate_neutrality,2050,POL,twh,3.502038963431107e-05
climate_neutrality,2050,PRT,twh,0.07789719443362836
climate_neutrality,2050,ROU,twh,0.030199391922442583
climate_neutrality,2050,SVK,twh,3.784375975301225e-06
climate_neutrality,2050,SVN,twh,4.935017565602683e-06
climate_neutrality,2050,SWE,twh,0.006795108051799386
