carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,1.2505974894461667e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,5.079486749787969e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,1.8387875198500635e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,3.2213678068460488e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,2.805469589821077e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,3.4688606565088945e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,twh,6.46267612546986e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,twh,3.055208433380348e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,twh,3.0595616019131975e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,twh,8.912138681016439e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,twh,6.701829063054323e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,twh,1.6648022672376682e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,twh,2.6157624232979523e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,twh,8.413015926216243e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,twh,7.661267840666573e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,twh,1.077897530916766e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,3.087184873407626e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,3.5553128290994124e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,7.895944685909676e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,7.096588815558071e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,5.617890735699444e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,0.00011529056931372246
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,5.548253337360371e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,3.6777771352050094e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,4.959931866859572e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,7.7468732495851e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,1.515789094679818e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,AUT,twh,0.01535630643432404
heat,chp_biofuel_extraction,climate_neutrality,2050,BEL,twh,0.009772693964870616
heat,chp_biofuel_extraction,climate_neutrality,2050,BGR,twh,0.013676978251803442
heat,chp_biofuel_extraction,climate_neutrality,2050,CYP,twh,1.379334637061946e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,CZE,twh,0.017596442481475988
heat,chp_biofuel_extraction,climate_neutrality,2050,DEU,twh,0.0688792992999247
