technology,scenario,year,locs,unit,nameplate_capacity
ccgt,climate_neutrality,2050,AUT,tw,0.007874868081008792
ccgt,climate_neutrality,2050,BEL,tw,0.0026317036465393546
ccgt,climate_neutrality,2050,BGR,tw,3.269630286699643e-06
ccgt,climate_neutrality,2050,CYP,tw,9.604530227537323e-07
ccgt,climate_neutrality,2050,CZE,tw,0.010839378280238801
ccgt,climate_neutrality,2050,DEU,tw,0.054264367514196124
ccgt,climate_neutrality,2050,DNK,tw,5.72321896780874e-06
ccgt,climate_neutrality,2050,ESP,tw,2.0713056361600438e-05
ccgt,climate_neutrality,2050,EST,tw,8.563511629388159e-07
ccgt,climate_neutrality,2050,FIN,tw,2.4182714235379493e-06
ccgt,climate_neutrality,2050,FRA,tw,0.006411985990789186
ccgt,climate_neutrality,2050,GBR,tw,0.0025175785540966847
ccgt,climate_neutrality,2050,GRC,tw,7.431402062856284e-06
ccgt,climate_neutrality,2050,HRV,tw,2.3798883838008408e-05
ccgt,climate_neutrality,2050,HUN,tw,0.0002573389834259867
ccgt,climate_neutrality,2050,IRL,tw,1.0183430304415008e-06
ccgt,climate_neutrality,2050,ITA,tw,0.021000833329111467
ccgt,climate_neutrality,2050,LTU,tw,8.567876913603533e-07
ccgt,climate_neutrality,2050,LUX,tw,8.588718589617601e-07
ccgt,climate_neutrality,2050,LVA,tw,2.4891269760273435e-06
ccgt,climate_neutrality,2050,NLD,tw,0.020898216463027232
ccgt,climate_neutrality,2050,POL,tw,0.00019716719182944062
ccgt,climate_neutrality,2050,PRT,tw,2.696025193208692e-06
ccgt,climate_neutrality,2050,ROU,tw,9.421598462062669e-06
ccgt,climate_neutrality,2050,SVK,tw,0.0003253541235249611
ccgt,climate_neutrality,2050,SVN,tw,8.513919102152389e-07
ccgt,climate_neutrality,2050,SWE,tw,1.0671650248399889e-05
gas_hob,climate_neutrality,2050,AUT,tw,3.157488047807101e-05
gas_hob,climate_neutrality,2050,BEL,tw,0.00025922564741466184
gas_hob,climate_neutrality,2050,BGR,tw,1.3283825620776395e-05
gas_hob,climate_neutrality,2050,CYP,tw,5.41914743465451e-06
gas_hob,climate_neutrality,2050,CZE,tw,0.0006019244336728793
gas_hob,climate_neutrality,2050,DEU,tw,0.0011801081411784396
gas_hob,climate_neutrality,2050,DNK,tw,1.605980379676241e-05
gas_hob,climate_neutrality,2050,ESP,tw,0.0009892620852932758
gas_hob,climate_neutrality,2050,EST,tw,4.2655068712950446e-06
gas_hob,climate_neutrality,2050,FIN,tw,8.067889809546723e-06
gas_hob,climate_neutrality,2050,FRA,tw,0.003128657909708017
gas_hob,climate_neutrality,2050,GBR,tw,0.003947490328982522
gas_hob,climate_neutrality,2050,GRC,tw,0.0002890045137468097
gas_hob,climate_neutrality,2050,HRV,tw,0.0002143026697064941
gas_hob,climate_neutrality,2050,HUN,tw,0.0004951044697349015
gas_hob,climate_neutrality,2050,IRL,tw,1.046482060951322e-05
gas_hob,climate_neutrality,2050,ITA,tw,0.0029003236123047614
gas_hob,climate_neutrality,2050,LTU,tw,3.503522330091488e-06
gas_hob,climate_neutrality,2050,LUX,tw,3.1308933863359853e-06
gas_hob,climate_neutrality,2050,LVA,tw,7.166622597946088e-06
gas_hob,climate_neutrality,2050,NLD,tw,0.00023799798505402185
gas_hob,climate_neutrality,2050,POL,tw,0.0013183856636523482
gas_hob,climate_neutrality,2050,PRT,tw,2.1782027976301843e-05
gas_hob,climate_neutrality,2050,ROU,tw,3.1451768871881785e-05
gas_hob,climate_neutrality,2050,SVK,tw,0.0002371030303363439
gas_hob,climate_neutrality,2050,SVN,tw,3.314067142479723e-06
gas_hob,climate_neutrality,2050,SWE,tw,1.7102003741773445e-05
open_field_pv,climate_neutrality,2050,AUT,tw,0.027564045708131323
open_field_pv,climate_neutrality,2050,BEL,tw,0.0008988648081598572
open_field_pv,climate_neutrality,2050,BGR,tw,0.051340092010538504
open_field_pv,climate_neutrality,2050,CYP,tw,0.006625398933804869
open_field_pv,climate_neutrality,2050,CZE,tw,0.0014187540404436818
open_field_pv,climate_neutrality,2050,DEU,tw,0.27805062490388704
open_field_pv,climate_neutrality,2050,DNK,tw,3.566176668254564e-05
open_field_pv,climate_neutrality,2050,ESP,tw,0.2223842788190551
open_field_pv,climate_neutrality,2050,EST,tw,1.921995499467988e-05
open_field_pv,climate_neutrality,2050,FIN,tw,2.163258755347292e-05
open_field_pv,climate_neutrality,2050,FRA,tw,0.23030575283637197
open_field_pv,climate_neutrality,2050,GBR,tw,0.12809773778567343
open_field_pv,climate_neutrality,2050,GRC,tw,0.04944140056388581
open_field_pv,climate_neutrality,2050,HRV,tw,0.02502810858059414
open_field_pv,climate_neutrality,2050,HUN,tw,2.029364376959824e-05
open_field_pv,climate_neutrality,2050,IRL,tw,2.833775328885332e-05
open_field_pv,climate_neutrality,2050,ITA,tw,0.39877908030754844
open_field_pv,climate_neutrality,2050,LTU,tw,2.7480071509445437e-05
open_field_pv,climate_neutrality,2050,LUX,tw,4.145471596235335e-05
