carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,tw,1.2533906357499734e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,tw,5.088137575940185e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,tw,1.83993372170143e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,tw,3.2332104242468215e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,tw,2.8071399447826188e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,tw,3.475232357224088e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,tw,6.491041489550337e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,tw,3.8276535859429465e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,tw,3.0678590820581106e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,tw,8.932293045196967e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,tw,6.734309642635903e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,tw,1.8997186156400083e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,tw,2.6187505365527094e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,tw,8.423591789546021e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,tw,7.669733473701682e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,tw,1.4043859936856957e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,tw,3.094324337103801e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,tw,3.5626742680970073e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,tw,7.92866717574034e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,tw,7.104443482852344e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,tw,5.629259787494032e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,tw,0.0001153325466649829
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,tw,5.565097058840288e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,tw,3.680208074734811e-05
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,tw,4.967983563120061e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVN,tw,7.75628452557416e-06
electricity,chp_biofuel_extraction,climate_neutrality,2050,SWE,tw,1.5201727475445845e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,AUT,tw,0.007667742015541969
heat,chp_biofuel_extraction,climate_neutrality,2050,BEL,tw,0.004882109625558505
heat,chp_biofuel_extraction,climate_neutrality,2050,BGR,tw,0.0068231587475499735
heat,chp_biofuel_extraction,climate_neutrality,2050,CYP,tw,4.208064292178764e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,CZE,tw,0.008774835406937326
heat,chp_biofuel_extraction,climate_neutrality,2050,DEU,tw,0.034411021183641914
heat,chp_biofuel_extraction,climate_neutrality,2050,DNK,tw,0.00010136153264055626
heat,chp_biofuel_extraction,climate_neutrality,2050,ESP,tw,5.5731046368075556e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,EST,tw,0.003606934271565295
heat,chp_biofuel_extraction,climate_neutrality,2050,FIN,tw,0.010774933355469581
heat,chp_biofuel_extraction,climate_neutrality,2050,FRA,tw,0.014489586986820341
heat,chp_biofuel_extraction,climate_neutrality,2050,GBR,tw,2.0378340018295035e-05
heat,chp_biofuel_extraction,climate_neutrality,2050,GRC,tw,0.0015965480923913974
heat,chp_biofuel_extraction,climate_neutrality,2050,HRV,tw,0.0021763975619000023
heat,chp_biofuel_extraction,climate_neutrality,2050,HUN,tw,0.008485154457910293
heat,chp_biofuel_extraction,climate_neutrality,2050,IRL,tw,2.5925792521125564e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,ITA,tw,0.011202176508228806
heat,chp_biofuel_extraction,climate_neutrality,2050,LTU,tw,0.0034521014994860046
heat,chp_biofuel_extraction,climate_neutrality,2050,LUX,tw,0.00027327537289294733
heat,chp_biofuel_extraction,climate_neutrality,2050,LVA,tw,0.004786588072552466
heat,chp_biofuel_extraction,climate_neutrality,2050,NLD,tw,0.0009867920389604096
heat,chp_biofuel_extraction,climate_neutrality,2050,POL,tw,0.02246237124821617
heat,chp_biofuel_extraction,climate_neutrality,2050,PRT,tw,4.242740883398619e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,ROU,tw,0.016264723512037966
heat,chp_biofuel_extraction,climate_neutrality,2050,SVK,tw,0.004017213040567567
heat,chp_biofuel_extraction,climate_neutrality,2050,SVN,tw,0.002808198527324471
heat,chp_biofuel_extraction,climate_neutrality,2050,SWE,tw,0.014238042495245698
electricity,chp_wte_back_pressure,climate_neutrality,2050,AUT,tw,0.0003495930902372312
electricity,chp_wte_back_pressure,climate_neutrality,2050,BEL,tw,0.0005112993500093008
electricity,chp_wte_back_pressure,climate_neutrality,2050,CZE,tw,7.191474834755828e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,DEU,tw,0.0035622352475248357
electricity,chp_wte_back_pressure,climate_neutrality,2050,DNK,tw,0.0005210286832780256
electricity,chp_wte_back_pressure,climate_neutrality,2050,ESP,tw,0.00027214593554108037
electricity,chp_wte_back_pressure,climate_neutrality,2050,EST,tw,2.7180992908079744e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,FIN,tw,0.0002722645784448829
electricity,chp_wte_back_pressure,climate_neutrality,2050,FRA,tw,0.0014336449823691491
electricity,chp_wte_back_pressure,climate_neutrality,2050,GBR,tw,0.001168282389140233
electricity,chp_wte_back_pressure,climate_neutrality,2050,GRC,tw,1.9772110674021037e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,HUN,tw,0.00010267718919489425
electricity,chp_wte_back_pressure,climate_neutrality,2050,IRL,tw,3.038865571675357e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,ITA,tw,0.0010399462350984216
electricity,chp_wte_back_pressure,climate_neutrality,2050,LTU,tw,4.138387489637951e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,LUX,tw,1.987830955437361e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,NLD,tw,0.0010476135007470762
electricity,chp_wte_back_pressure,climate_neutrality,2050,POL,tw,6.747130061504461e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,PRT,tw,0.00012954252625745565
electricity,chp_wte_back_pressure,climate_neutrality,2050,ROU,tw,1.603973800810088e-06
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVK,tw,2.134212690400662e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVN,tw,5.267384983572139e-06
electricity,chp_wte_back_pressure,climate_neutrality,2050,SWE,tw,0.0009372250578690257
