technology,scenario,year,locs,unit,total_investment_cost
ccgt,climate_neutrality,2050,AUT,billion_2015eur,0.5652847278276486
ccgt,climate_neutrality,2050,BEL,billion_2015eur,0.18891260961497353
ccgt,climate_neutrality,2050,BGR,billion_2015eur,0.0002347051465117719
ccgt,climate_neutrality,2050,CYP,billion_2015eur,6.894457405171356e-05
ccgt,climate_neutrality,2050,CZE,billion_2015eur,0.7780873200584193
ccgt,climate_neutrality,2050,DEU,billion_2015eur,3.895280264437437
ccgt,climate_neutrality,2050,DNK,billion_2015eur,0.0004108320600719645
ccgt,climate_neutrality,2050,ESP,billion_2015eur,0.001486853405974278
ccgt,climate_neutrality,2050,EST,billion_2015eur,6.147178963342669e-05
ccgt,climate_neutrality,2050,FIN,billion_2015eur,0.00017359172108098505
ccgt,climate_neutrality,2050,FRA,billion_2015eur,0.4602740920040454
ccgt,climate_neutrality,2050,GBR,billion_2015eur,0.18072032357841872
ccgt,climate_neutrality,2050,GRC,billion_2015eur,0.0005334512336289702
ccgt,climate_neutrality,2050,HRV,billion_2015eur,0.0017083645636444779
ccgt,climate_neutrality,2050,HUN,billion_2015eur,0.018472664647706406
ccgt,climate_neutrality,2050,IRL,billion_2015eur,7.31001150592689e-05
ccgt,climate_neutrality,2050,ITA,billion_2015eur,1.5075110123088975
ccgt,climate_neutrality,2050,LTU,billion_2015eur,6.150312512342084e-05
ccgt,climate_neutrality,2050,LUX,billion_2015eur,6.165273373948766e-05
ccgt,climate_neutrality,2050,LVA,billion_2015eur,0.00017867797284952438
ccgt,climate_neutrality,2050,NLD,billion_2015eur,1.5001448257749483
ccgt,climate_neutrality,2050,POL,billion_2015eur,0.014153329455592528
ccgt,climate_neutrality,2050,PRT,billion_2015eur,0.00019352982829449865
ccgt,climate_neutrality,2050,ROU,billion_2015eur,0.0006763142782255
ccgt,climate_neutrality,2050,SVK,billion_2015eur,0.023355021985441374
ccgt,climate_neutrality,2050,SVN,billion_2015eur,6.111579766032475e-05
ccgt,climate_neutrality,2050,SWE,billion_2015eur,0.0007660472333100733
gas_hob,climate_neutrality,2050,AUT,billion_2015eur,0.002192310108691191
gas_hob,climate_neutrality,2050,BEL,billion_2015eur,0.007274723042629218
gas_hob,climate_neutrality,2050,BGR,billion_2015eur,0.0011603881870393897
gas_hob,climate_neutrality,2050,CYP,billion_2015eur,0.0005524396001976667
gas_hob,climate_neutrality,2050,CZE,billion_2015eur,0.017141250298733816
gas_hob,climate_neutrality,2050,DEU,billion_2015eur,0.03463655130143621
gas_hob,climate_neutrality,2050,DNK,billion_2015eur,0.0012367764705237872
gas_hob,climate_neutrality,2050,ESP,billion_2015eur,0.030396292931393655
gas_hob,climate_neutrality,2050,EST,billion_2015eur,0.00038974795220661506
gas_hob,climate_neutrality,2050,FIN,billion_2015eur,0.0008232740364660759
gas_hob,climate_neutrality,2050,FRA,billion_2015eur,0.08841407481015943
gas_hob,climate_neutrality,2050,GBR,billion_2015eur,0.10530398249433354
gas_hob,climate_neutrality,2050,GRC,billion_2015eur,0.008597300021156795
gas_hob,climate_neutrality,2050,HRV,billion_2015eur,0.006420438034980867
gas_hob,climate_neutrality,2050,HUN,billion_2015eur,0.013629035898414481
gas_hob,climate_neutrality,2050,IRL,billion_2015eur,0.0006534887707871605
gas_hob,climate_neutrality,2050,ITA,billion_2015eur,0.07901729573897201
gas_hob,climate_neutrality,2050,LTU,billion_2015eur,0.00038167829021024027
gas_hob,climate_neutrality,2050,LUX,billion_2015eur,0.00040856477197706375
gas_hob,climate_neutrality,2050,LVA,billion_2015eur,0.000730197841400778
gas_hob,climate_neutrality,2050,NLD,billion_2015eur,0.006640483905313422
gas_hob,climate_neutrality,2050,POL,billion_2015eur,0.0385180699760282
gas_hob,climate_neutrality,2050,PRT,billion_2015eur,0.0012723123133008265
gas_hob,climate_neutrality,2050,ROU,billion_2015eur,0.0031484901708781522
gas_hob,climate_neutrality,2050,SVK,billion_2015eur,0.006647941710572209
gas_hob,climate_neutrality,2050,SVN,billion_2015eur,0.0004846050112822332
gas_hob,climate_neutrality,2050,SWE,billion_2015eur,0.0016084382843568829
open_field_pv,climate_neutrality,2050,AUT,billion_2015eur,0.7893224699284382
open_field_pv,climate_neutrality,2050,BEL,billion_2015eur,0.02573984233015516
open_field_pv,climate_neutrality,2050,BGR,billion_2015eur,1.4701720009177424
open_field_pv,climate_neutrality,2050,CYP,billion_2015eur,0.18972455299438823
open_field_pv,climate_neutrality,2050,CZE,billion_2015eur,0.04062736128367413
open_field_pv,climate_neutrality,2050,DEU,billion_2015eur,7.962242130136154
open_field_pv,climate_neutrality,2050,DNK,billion_2015eur,0.0010212083544606384
open_field_pv,climate_neutrality,2050,ESP,billion_2015eur,6.36818375972034
open_field_pv,climate_neutrality,2050,EST,billion_2015eur,0.000550381555340362
open_field_pv,climate_neutrality,2050,FIN,billion_2015eur,0.0006194695662405368
open_field_pv,climate_neutrality,2050,FRA,billion_2015eur,6.595022646254984
open_field_pv,climate_neutrality,2050,GBR,billion_2015eur,3.6681996486243627
open_field_pv,climate_neutrality,2050,GRC,billion_2015eur,1.4158011789356193
open_field_pv,climate_neutrality,2050,HRV,billion_2015eur,0.7167035163000023
open_field_pv,climate_neutrality,2050,HUN,billion_2015eur,0.0005811276469963845
open_field_pv,climate_neutrality,2050,IRL,billion_2015eur,0.0008114783168996862
open_field_pv,climate_neutrality,2050,ITA,billion_2015eur,11.41941542098409
open_field_pv,climate_neutrality,2050,LTU,billion_2015eur,0.0007869177894755448
open_field_pv,climate_neutrality,2050,LUX,billion_2015eur,0.0011870949257617126
open_field_pv,climate_neutrality,2050,LVA,billion_2015eur,0.0006138351158218819
open_field_pv,climate_neutrality,2050,NLD,billion_2015eur,0.001185684871552923
open_field_pv,climate_neutrality,2050,POL,billion_2015eur,0.1843211796043422
open_field_pv,climate_neutrality,2050,PRT,billion_2015eur,1.882748993997913
open_field_pv,climate_neutrality,2050,ROU,billion_2015eur,0.0014158138006230812
open_field_pv,climate_neutrality,2050,SVK,billion_2015eur,0.01630573252422168
open_field_pv,climate_neutrality,2050,SVN,billion_2015eur,0.000573447796883765
open_field_pv,climate_neutrality,2050,SWE,billion_2015eur,0.002610890721257737
