carrier,technology,scenario,year,region,unit,value
electricity,chp_biofuel_extraction,climate_neutrality,2050,AUT,billion_2015eur,0.0030792943583026686
electricity,chp_biofuel_extraction,climate_neutrality,2050,BEL,billion_2015eur,0.0012500391246728492
electricity,chp_biofuel_extraction,climate_neutrality,2050,BGR,billion_2015eur,0.00452029667949126
electricity,chp_biofuel_extraction,climate_neutrality,2050,CYP,billion_2015eur,0.0007943259136152219
electricity,chp_biofuel_extraction,climate_neutrality,2050,CZE,billion_2015eur,0.006896501336762412
electricity,chp_biofuel_extraction,climate_neutrality,2050,DEU,billion_2015eur,0.008537851716905366
electricity,chp_biofuel_extraction,climate_neutrality,2050,DNK,billion_2015eur,0.001594700556089688
electricity,chp_biofuel_extraction,climate_neutrality,2050,ESP,billion_2015eur,0.00940367013806401
electricity,chp_biofuel_extraction,climate_neutrality,2050,EST,billion_2015eur,0.0007537028675658306
electricity,chp_biofuel_extraction,climate_neutrality,2050,FIN,billion_2015eur,0.002194460274096696
electricity,chp_biofuel_extraction,climate_neutrality,2050,FRA,billion_2015eur,0.01654465981966104
electricity,chp_biofuel_extraction,climate_neutrality,2050,GBR,billion_2015eur,0.004667174501429538
electricity,chp_biofuel_extraction,climate_neutrality,2050,GRC,billion_2015eur,0.006433671612827841
electricity,chp_biofuel_extraction,climate_neutrality,2050,HRV,billion_2015eur,0.0020694840007858496
electricity,chp_biofuel_extraction,climate_neutrality,2050,HUN,billion_2015eur,0.001884278240288841
electricity,chp_biofuel_extraction,climate_neutrality,2050,IRL,billion_2015eur,0.0034502554462185284
electricity,chp_biofuel_extraction,climate_neutrality,2050,ITA,billion_2015eur,0.007602047759277414
electricity,chp_biofuel_extraction,climate_neutrality,2050,LTU,billion_2015eur,0.0008752676509073271
electricity,chp_biofuel_extraction,climate_neutrality,2050,LUX,billion_2015eur,0.0019478923335427751
electricity,chp_biofuel_extraction,climate_neutrality,2050,LVA,billion_2015eur,0.00174539940794574
electricity,chp_biofuel_extraction,climate_neutrality,2050,NLD,billion_2015eur,0.001382980485942315
electricity,chp_biofuel_extraction,climate_neutrality,2050,POL,billion_2015eur,0.028334571054271465
electricity,chp_biofuel_extraction,climate_neutrality,2050,PRT,billion_2015eur,0.0013672171698043607
electricity,chp_biofuel_extraction,climate_neutrality,2050,ROU,billion_2015eur,0.009041430212321632
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVK,billion_2015eur,0.0012205200295678303
electricity,chp_biofuel_extraction,climate_neutrality,2050,SVN,billion_2015eur,0.0019055418558077662
electricity,chp_biofuel_extraction,climate_neutrality,2050,SWE,billion_2015eur,0.0037347170400380144
heat,chp_biofuel_extraction,climate_neutrality,2050,AUT,billion_2015eur,0.5156923464179846
heat,chp_biofuel_extraction,climate_neutrality,2050,BEL,billion_2015eur,0.3276346658602668
heat,chp_biofuel_extraction,climate_neutrality,2050,BGR,billion_2015eur,0.46067025884303825
heat,chp_biofuel_extraction,climate_neutrality,2050,CYP,billion_2015eur,0.0010756484562496527
heat,chp_biofuel_extraction,climate_neutrality,2050,CZE,billion_2015eur,0.5935222837579998
heat,chp_biofuel_extraction,climate_neutrality,2050,DEU,billion_2015eur,2.3090245605397843
heat,chp_biofuel_extraction,climate_neutrality,2050,DNK,billion_2015eur,0.008371042861686943
heat,chp_biofuel_extraction,climate_neutrality,2050,ESP,billion_2015eur,0.013129468647626878
heat,chp_biofuel_extraction,climate_neutrality,2050,EST,billion_2015eur,0.24188878302258895
heat,chp_biofuel_extraction,climate_neutrality,2050,FIN,billion_2015eur,0.7225331808376536
heat,chp_biofuel_extraction,climate_neutrality,2050,FRA,billion_2015eur,0.9852198439016377
heat,chp_biofuel_extraction,climate_neutrality,2050,GBR,billion_2015eur,0.006029531640143185
heat,chp_biofuel_extraction,climate_neutrality,2050,GRC,billion_2015eur,0.1131680125363951
heat,chp_biofuel_extraction,climate_neutrality,2050,HRV,billion_2015eur,0.147568614571359
heat,chp_biofuel_extraction,climate_neutrality,2050,HUN,billion_2015eur,0.569143963692783
heat,chp_biofuel_extraction,climate_neutrality,2050,IRL,billion_2015eur,0.003623577652474067
heat,chp_biofuel_extraction,climate_neutrality,2050,ITA,billion_2015eur,0.7565033381202518
heat,chp_biofuel_extraction,climate_neutrality,2050,LTU,billion_2015eur,0.23165928230404603
heat,chp_biofuel_extraction,climate_neutrality,2050,LUX,billion_2015eur,0.020217224122152773
heat,chp_biofuel_extraction,climate_neutrality,2050,LVA,billion_2015eur,0.32174410513515717
heat,chp_biofuel_extraction,climate_neutrality,2050,NLD,billion_2015eur,0.06735318107620544
heat,chp_biofuel_extraction,climate_neutrality,2050,POL,billion_2015eur,1.53001585593666
heat,chp_biofuel_extraction,climate_neutrality,2050,PRT,billion_2015eur,0.0016508579533530273
heat,chp_biofuel_extraction,climate_neutrality,2050,ROU,billion_2015eur,1.0963901625396626
heat,chp_biofuel_extraction,climate_neutrality,2050,SVK,billion_2015eur,0.2697840467269045
heat,chp_biofuel_extraction,climate_neutrality,2050,SVN,billion_2015eur,0.18964258555961233
heat,chp_biofuel_extraction,climate_neutrality,2050,SWE,billion_2015eur,0.9555933481793734
electricity,chp_wte_back_pressure,climate_neutrality,2050,AUT,billion_2015eur,0.29723072107215226
electricity,chp_wte_back_pressure,climate_neutrality,2050,BEL,billion_2015eur,0.4347164710373964
electricity,chp_wte_back_pressure,climate_neutrality,2050,CZE,billion_2015eur,0.06114329231324915
electricity,chp_wte_back_pressure,climate_neutrality,2050,DEU,billion_2015eur,3.028680431103332
electricity,chp_wte_back_pressure,climate_neutrality,2050,DNK,billion_2015eur,0.442988535971666
electricity,chp_wte_back_pressure,climate_neutrality,2050,ESP,billion_2015eur,0.2313836712357196
electricity,chp_wte_back_pressure,climate_neutrality,2050,EST,billion_2015eur,0.023109799212688194
electricity,chp_wte_back_pressure,climate_neutrality,2050,FIN,billion_2015eur,0.23148454369811125
electricity,chp_wte_back_pressure,climate_neutrality,2050,FRA,billion_2015eur,1.2189123405782738
electricity,chp_wte_back_pressure,climate_neutrality,2050,GBR,billion_2015eur,0.993295996509563
electricity,chp_wte_back_pressure,climate_neutrality,2050,GRC,billion_2015eur,0.01681062605891228
electricity,chp_wte_back_pressure,climate_neutrality,2050,HUN,billion_2015eur,0.08729810695443202
