scenario,techs,locs,carriers,unit,year,flow_out_sum
diag-npi,diesel_supply,CHE,diesel,twh,2030,18.668866257092034
diag-npi,diesel_supply,DEU,diesel,twh,2030,75.99917348401497
diag-npi,diesel_supply,DNK,diesel,twh,2030,21.597281438198983
diag-npi,diesel_supply,ESP,diesel,twh,2030,118.34803553403265
diag-npi,diesel_supply,FRA,diesel,twh,2030,161.70261846278748
diag-npi,diesel_supply,GBR,diesel,twh,2030,65.04775267223238
diag-npi,diesel_supply,ITA,diesel,twh,2030,64.81686341049198
diag-npi,diesel_supply,MNE,diesel,twh,2030,0.0229989807885403
diag-npi,diesel_supply,NLD,diesel,twh,2030,10.977233881109814
diag-npi,diesel_supply,NOR,diesel,twh,2030,5.940198716538651
diag-npi,diesel_supply,POL,diesel,twh,2030,53.918761873213086
diag-npi,diesel_supply,PRT,diesel,twh,2030,21.41708619558844
diag-npi,diesel_supply,SWE,diesel,twh,2030,43.28409368526068
diag-npi,hydro_reservoir,CHE,electricity,twh,2030,22.12783077773374
diag-npi,hydro_reservoir,DEU,electricity,twh,2030,1.2013721609230588
diag-npi,hydro_reservoir,ESP,electricity,twh,2030,33.709225487995504
diag-npi,hydro_reservoir,FRA,electricity,twh,2030,39.64457682415664
diag-npi,hydro_reservoir,GBR,electricity,twh,2030,2.095473414545276
diag-npi,hydro_reservoir,ITA,electricity,twh,2030,23.561665585578822
diag-npi,hydro_reservoir,MNE,electricity,twh,2030,1.135541488108273
diag-npi,hydro_reservoir,NOR,electricity,twh,2030,138.4337374585565
diag-npi,hydro_reservoir,POL,electricity,twh,2030,1.93057740680334
diag-npi,hydro_reservoir,PRT,electricity,twh,2030,5.599216493702132
diag-npi,hydro_reservoir,SWE,electricity,twh,2030,53.23402719863092
diag-npi,hydro_run_of_river,CHE,electricity,twh,2030,9.824687404565422
diag-npi,hydro_run_of_river,DEU,electricity,twh,2030,19.411144503235136
diag-npi,hydro_run_of_river,ESP,electricity,twh,2030,0.5697857830652927
diag-npi,hydro_run_of_river,FRA,electricity,twh,2030,26.45202849955674
diag-npi,hydro_run_of_river,GBR,electricity,twh,2030,3.3929307732464205
diag-npi,hydro_run_of_river,ITA,electricity,twh,2030,24.755664043924057
diag-npi,hydro_run_of_river,MNE,electricity,twh,2030,0.9540960814063632
diag-npi,hydro_run_of_river,POL,electricity,twh,2030,0.0661853602752823
diag-npi,hydro_run_of_river,PRT,electricity,twh,2030,6.68771263457173
diag-npi,hydro_run_of_river,SWE,electricity,twh,2030,9.09784591379348
diag-npi,kerosene_supply,CHE,kerosene,twh,2030,0.0105225019012907
diag-npi,kerosene_supply,ESP,kerosene,twh,2030,748.2296037539812
diag-npi,kerosene_supply,MNE,kerosene,twh,2030,7.314932946186461e-06
diag-npi,kerosene_supply,NOR,kerosene,twh,2030,0.000324800660889
diag-npi,methane_supply,CHE,methane,twh,2030,85.69022394942252
diag-npi,methane_supply,DEU,methane,twh,2030,773.3254826859502
diag-npi,methane_supply,DNK,methane,twh,2030,81.11961393383541
diag-npi,methane_supply,ESP,methane,twh,2030,323.4516202495061
diag-npi,methane_supply,FRA,methane,twh,2030,680.1492823180847
diag-npi,methane_supply,GBR,methane,twh,2030,540.0634784705887
diag-npi,methane_supply,ITA,methane,twh,2030,465.9571003050003
diag-npi,methane_supply,MNE,methane,twh,2030,2.037087061516582
diag-npi,methane_supply,NLD,methane,twh,2030,168.9035704761328
diag-npi,methane_supply,NOR,methane,twh,2030,65.33953594431762
diag-npi,methane_supply,POL,methane,twh,2030,293.19650478324866
diag-npi,methane_supply,PRT,methane,twh,2030,56.14379662618812
diag-npi,methane_supply,SWE,methane,twh,2030,123.86429783665297
diag-npi,open_field_pv,CHE,electricity,twh,2030,32.62788515644182
diag-npi,open_field_pv,DEU,electricity,twh,2030,191.56829299093687
diag-npi,open_field_pv,DNK,electricity,twh,2030,0.0060066526756741
diag-npi,open_field_pv,ESP,electricity,twh,2030,295.91076617726856
diag-npi,open_field_pv,FRA,electricity,twh,2030,211.7101142085623
diag-npi,open_field_pv,GBR,electricity,twh,2030,0.0140065561216049
diag-npi,open_field_pv,ITA,electricity,twh,2030,356.2831826537663
diag-npi,open_field_pv,MNE,electricity,twh,2030,7.539237639789178
diag-npi,open_field_pv,NLD,electricity,twh,2030,0.0092381815332337
diag-npi,open_field_pv,NOR,electricity,twh,2030,0.0052273668900909
diag-npi,open_field_pv,POL,electricity,twh,2030,37.35773682955305
diag-npi,open_field_pv,PRT,electricity,twh,2030,63.969581467565085
diag-npi,open_field_pv,SWE,electricity,twh,2030,0.005738827676347
diag-npi,roof_mounted_pv,CHE,electricity,twh,2030,0.0003800336182965
diag-npi,roof_mounted_pv,DEU,electricity,twh,2030,0.0014576702818538
diag-npi,roof_mounted_pv,DNK,electricity,twh,2030,0.0003737375981221
diag-npi,roof_mounted_pv,ESP,electricity,twh,2030,0.0025484527466989
diag-npi,roof_mounted_pv,FRA,electricity,twh,2030,0.0033233586638764
diag-npi,roof_mounted_pv,GBR,electricity,twh,2030,0.0010131080291831
diag-npi,roof_mounted_pv,ITA,electricity,twh,2030,0.0013116186815515
diag-npi,roof_mounted_pv,MNE,electricity,twh,2030,0.0002081978935181
diag-npi,roof_mounted_pv,NLD,electricity,twh,2030,0.0002086946106414
diag-npi,roof_mounted_pv,NOR,electricity,twh,2030,0.0006169199533817
diag-npi,roof_mounted_pv,POL,electricity,twh,2030,0.0009807973501434
diag-npi,roof_mounted_pv,PRT,electricity,twh,2030,0.0004817472064168
diag-npi,roof_mounted_pv,SWE,electricity,twh,2030,0.0005245529982698
diag-npi,waste_supply,CHE,waste,twh,2030,13.445000570514685
diag-npi,waste_supply,DEU,waste,twh,2030,64.3661131079121
diag-npi,waste_supply,DNK,waste,twh,2030,10.081895570514677
diag-npi,waste_supply,ESP,waste,twh,2030,6.638058693386308
diag-npi,waste_supply,FRA,waste,twh,2030,28.74977761219337
diag-npi,waste_supply,GBR,waste,twh,2030,25.086390600432853
diag-npi,waste_supply,ITA,waste,twh,2030,20.089522544877365
diag-npi,waste_supply,NLD,waste,twh,2030,19.698053340812827
diag-npi,waste_supply,NOR,waste,twh,2030,3.97290533013472
diag-npi,waste_supply,POL,waste,twh,2030,2.790141426286687
diag-npi,waste_supply,PRT,waste,twh,2030,2.375401126070245
diag-npi,waste_supply,SWE,waste,twh,2030,18.48527891880853
diag-npi,wind_offshore,DEU,electricity,twh,2030,0.0026985550026472
