model,scenario,region,variable,unit,year,value
calliope,diag-npi,CHE,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,DEU,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,DNK,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,ESP,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,FRA,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,GBR,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,ITA,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,MNE,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,NLD,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,NOR,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000004
calliope,diag-npi,POL,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,PRT,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,SWE,Fixed Cost|Electricity|Fossil,billion_2015eur_per_tw_per_year,2030,14.212137600000002
calliope,diag-npi,CHE,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,DEU,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,DNK,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,ESP,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.70000000000005
calliope,diag-npi,FRA,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7000000000001
calliope,diag-npi,GBR,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,ITA,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,MNE,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,NLD,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,NOR,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,POL,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
calliope,diag-npi,PRT,Fixed Cost|Electricity|Hydro,billion_2015eur_per_tw_per_year,2030,269.7
