scenario,techs,locs,carriers,unit,year,nameplate_capacity
diag-npi,ccgt,CHE,electricity,tw,2030,7.052268637378355e-07
diag-npi,ccgt,DEU,electricity,tw,2030,9.392077638116888e-07
diag-npi,ccgt,DNK,electricity,tw,2030,7.011482172343103e-07
diag-npi,ccgt,ESP,electricity,tw,2030,1.3933409209781283e-06
diag-npi,ccgt,FRA,electricity,tw,2030,1.984707865537064e-06
diag-npi,ccgt,GBR,electricity,tw,2030,7.410883579386218e-07
diag-npi,ccgt,ITA,electricity,tw,2030,9.917319332282592e-07
diag-npi,ccgt,MNE,electricity,tw,2030,3.566141369606873e-07
diag-npi,ccgt,NLD,electricity,tw,2030,4.048349385313807e-07
diag-npi,ccgt,NOR,electricity,tw,2030,8.443526094276531e-07
diag-npi,ccgt,POL,electricity,tw,2030,7.014707387889643e-07
diag-npi,ccgt,PRT,electricity,tw,2030,6.024323211198322e-07
diag-npi,ccgt,SWE,electricity,tw,2030,5.013577756456487e-07
diag-npi,coal_power_plant,DEU,electricity,tw,2030,0.0460325746783112
diag-npi,coal_power_plant,DNK,electricity,tw,2030,0.0027209345947756
diag-npi,coal_power_plant,ESP,electricity,tw,2030,0.0096150162857575
diag-npi,coal_power_plant,FRA,electricity,tw,2030,0.0029299368858384
diag-npi,coal_power_plant,GBR,electricity,tw,2030,0.0109545695350481
diag-npi,coal_power_plant,ITA,electricity,tw,2030,0.0084279178279889
diag-npi,coal_power_plant,MNE,electricity,tw,2030,0.0002099969067762
diag-npi,coal_power_plant,NLD,electricity,tw,2030,0.0051139438462013
diag-npi,coal_power_plant,POL,electricity,tw,2030,0.0288705091075609
diag-npi,coal_power_plant,PRT,electricity,tw,2030,0.0017559742930985
diag-npi,coal_power_plant,SWE,electricity,tw,2030,0.0001299895848686
diag-npi,hydro_reservoir,CHE,electricity,tw,2030,0.00912793
diag-npi,hydro_reservoir,DEU,electricity,tw,2030,0.0002028
diag-npi,hydro_reservoir,ESP,electricity,tw,2030,0.008364235
diag-npi,hydro_reservoir,FRA,electricity,tw,2030,0.0094696382165605
diag-npi,hydro_reservoir,GBR,electricity,tw,2030,0.000524
diag-npi,hydro_reservoir,ITA,electricity,tw,2030,0.00552824
diag-npi,hydro_reservoir,MNE,electricity,tw,2030,0.000362961
diag-npi,hydro_reservoir,NOR,electricity,tw,2030,0.0317543099999999
diag-npi,hydro_reservoir,POL,electricity,tw,2030,0.0004125063694267
diag-npi,hydro_reservoir,PRT,electricity,tw,2030,0.0013354
diag-npi,hydro_reservoir,SWE,electricity,tw,2030,0.011674063516863
diag-npi,hydro_run_of_river,CHE,electricity,tw,2030,0.0040528798
diag-npi,hydro_run_of_river,DEU,electricity,tw,2030,0.0035328955499999
diag-npi,hydro_run_of_river,ESP,electricity,tw,2030,0.0001470082475
diag-npi,hydro_run_of_river,FRA,electricity,tw,2030,0.0063313325624905
diag-npi,hydro_run_of_river,GBR,electricity,tw,2030,0.000848475
diag-npi,hydro_run_of_river,ITA,electricity,tw,2030,0.0059019599999999
diag-npi,hydro_run_of_river,MNE,electricity,tw,2030,0.00031236
diag-npi,hydro_run_of_river,POL,electricity,tw,2030,1.4400368779543972e-05
diag-npi,hydro_run_of_river,PRT,electricity,tw,2030,0.0016155
diag-npi,hydro_run_of_river,SWE,electricity,tw,2030,0.001995
diag-npi,nuclear,CHE,electricity,tw,2030,0.003373
diag-npi,nuclear,DEU,electricity,tw,2030,0.012085
diag-npi,nuclear,ESP,electricity,tw,2030,0.0075724
diag-npi,nuclear,FRA,electricity,tw,2030,0.0631299999999999
diag-npi,nuclear,GBR,electricity,tw,2030,0.012638
diag-npi,nuclear,NLD,electricity,tw,2030,0.000492
diag-npi,nuclear,SWE,electricity,tw,2030,0.009525
diag-npi,open_field_pv,CHE,electricity,tw,2030,0.0283438398334548
diag-npi,open_field_pv,DEU,electricity,tw,2030,0.1696191061184482
diag-npi,open_field_pv,DNK,electricity,tw,2030,6.023591552270434e-06
